id;city;country;country_id;type_of_violence;event_UCDP_id;weapon/method;side_a;side_a_identity;side_a_gender;side_a_age;side_b;side_b_identity;side_b_gender;side_b_age;additional actors;cr_clarity;clarity_comment;sources;sources_original;date_start;date_end;date_precision;time;where;neighborhood/area;lattitude;longitude;geoprecision;deaths_a;deaths_b;deaths_other;deaths_unknown;deaths_best;deaths_high;deaths_low;deaths_gender;injuries_total;injuries_a;injuries_b;injuries_others;injuries_unknown;injuries_comment
BEL91112501_00;Belfast;United Kingdom ;200;assassination/murder;67213;gunfire;UDA/UFF;loyalist;unknown;unknown;civilians;Catholic;1 man ;48;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1991-11-25;1991-11-25;1;unknown;Candahar street, Ballynafeigh, east Belfast;;54,580099;-5,922797;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL91112701_00;Belfast;United Kingdom ;200;attack;n/a;gunfire;unknown;unknown;unknown;unknown;civilians;Catholic;1 man;unknown;no;3: low –there is some reason to believe it is conflict-related, e.g. based on group identities, but no clear statements or evidence;perpetrator unknown, circumstances suggest conflict related event. Thus coded at CR3;"The Indepedent, ""UDR man killed as Ulster gets more troops,"" 28 November 1999";;1991-11-27;1991-11-27;1;unknown;south Belfast;;54,571949;-5,970547;4: sub-city admin area;0;0;0;0;0;0;0;;0;0;1;0;0;
BEL91112801_00;Belfast;United Kingdom ;200;attack;n/a;explosives (car bomb);IRA;republican;unknown;unknown;civilians;unknown;unknown;unknown;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"Reuters News, ""Seven hurt by IRA car bomb in Belfast city centre,"" 28 November 1991";police;1991-11-28;1991-11-28;1;unknown;outside a hotel in Belfast city centre;;54,598994;-5,929425;3: neighbourhood ;0;0;0;0;0;0;0;;0;0;7;0;0;victims suffered minor injuries
BEL91120401_00;Belfast;United Kingdom ;200;attack;n/a;explosives (car bomb);IRA;republican;unknown;unknown;civilians;unknown;unknown;unknown;British soldiers, police officers;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"Reuters News,"" Six hurt as car bomb explodes in Belfast";police;1991-12-04;1991-12-04;1;evening;outside the Europa Hotel, Belfast city centre;;54,594903;-5,934835;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;6;0;1;5;0;three police officers, two soldiers, and a civilian were hurt
BEL91121501_00;Belfast;United Kingdom ;200;assassination/murder;n/a;gunfire;PLO ;republican;unknown;unknown;civilians;Catholic;1 man ;39;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1991-12-15;1991-12-15;1;unknown;Frames Snooker Hall, Little Donegall Street, Belfast;;54,603898;-5,931893;2: within a small radius of an exact location (e.g. “near the town hall”);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL91122101_00;Belfast;United Kingdom ;200;attack;n/a;gunfire;PLO ;republican;unknown;unknown;civilians;Protestant;2 men;55, 25;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1991-12-21;1991-12-21;1;unknown;Donegall Arms, Roden Street, Village, Belfast;;54,589252;-5,948948;1: exact location (e.g. street, building, square);0;2;0;0;2;2;2;2 men;0;0;0;0;0;
BEL91122102_00;Belfast;United Kingdom ;200;assassination/murder;66668;gunfire;UDA/UFF;loyalist;unknown;unknown;civilians;Catholic;1 man ;28;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1991-12-21;1991-12-21;1;unknown;Fortuna Street, Village,  Belfast;;54,588021;-5,945053;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL91122201_00;Belfast;United Kingdom ;200;attack;67736;gunfire;UDA/UFF;loyalist;unknown;unknown;civilians;Catholic;3 men, 1 boy;22, 7;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001); Financial Times, ""Appeals for halt to killings,"" 23 December 1991; The Times, ""Boy of 8 shot in tit-for-tat Belfast pub raid,"" 23 December 1991";;1991-12-22;1991-12-22;1;unknown;Devenish Arms, Finaghy Road North, Belfast;;54,564308;-5,987157;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;3;0;3;0;0;gothe
BEL91122801_00;Belfast;United Kingdom ;200;attack;n/a;gunfire;unknown;unknown;unknown;unknown;civilians;unknown;1 man;30;no;2: medium –circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence ;Unknown perpetrator, circumstances and police opinion indicate paramilitary attack. Thus event coded at CR2.;"AFP, ""Man shot in Belfast,"" 28 December 1991";police;1991-12-28;1991-12-28;1;unknown;east Belfast;;54,598415;-5,87978;4: sub-city admin area;0;0;0;0;0;0;0;;1;0;1;0;0;1 man seriously wounded
BEL91010501_01;Belfast;United Kingdom ;200;attack;n/a;explosives (car bomb);IRA;republican;unknown;unknown;security forces;unknown;unknown;unknown;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"Reuters News, ""Massive IRA van bomb devastates Belfast city centre,"" 6 January 1992; Lloyd´s Information Casualty Report, ""Fires and Explosions, Premises, Belfast,"" 6 january 1992";police;1992-01-05;1992-01-05;1;night;Hollywood Road, East Belfast;;54,607295;-5,869886;3: neighbourhood ;0;0;0;0;0;0;0;;13;0;13;0;0;victims suffered minor injuries
BEL92011101_00;Belfast;United Kingdom ;200;assassination/murder;n/a;blunt instrument (brick);republican;republican;unknown;unknown;civilians;Protestant;1 man ;30;no;2: medium –circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence ;Exact perpetrator group unclear, thus event coded at CR2;"McKittrick (1999); Sutton (2001)";;1992-01-11;1992-01-11;1;unknown;Westlink Road, brick thrown from bridge at North Queen Street, Belfast;;54,607582;-5,930573;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92011401_00;Belfast;United Kingdom ;200;assassination/murder;66500;gunfire;UDA/UFF;loyalist;unknown;unknown;UDA;Protestant;1 man ;41;no;1: high –e.g. it involves the formal former warring parties and/or a clear statement is made by those involved tying it to the war;Event clearly follows along the conflict identity lines, and/or includes a verified perpetrator group. Thus, event coded at CR1.;"McKittrick (1999); Sutton (2001)";;1992-01-14;1992-01-14;1;unknown;Coronation Park, Dundonald, Belfast;;54,58555;-5,808111;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0;
BEL92012601_00;Belfast;United Kingdom ;200;assassination/murder;n/a;sharp instrument (knife);loyalist;loyalist;unknown;unknown;civilians;Catholic;1 man ;36;no;2: medium –circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence ;Exact perpetrator group unclear, thus event coded at CR3;"McKittrick (1999); Sutton (2001)";;1992-01-26;1992-01-26;1;unknown;Liverpool Supporters´ Social Club, Templemore Avenue, Belfast;;54,596053;-5,901672;3: neighbourhood ;0;1;0;0;1;1;1;1 man;0;0;0;0;0;
