id;city;country;country_id;type_of_violence;event_UCDP_id;weapon/method;side_a;side_a_identity;side_a_gender;side_a_age;side_b;side_b_identity;side_b_gender;side_b_age;additional_actors;cr_clarity;sources;sources_original;date_start;date_end;date_precision;time;where;neighbourhood/area;admin_area;latitude;longitude;geoprecision;deaths_a;deaths_b;deaths_other;deaths_unknown;deaths_best;deaths_high;deaths_low;deaths_gender;injuries_total;injuries_a;injuries_b;injuries_others;injuries_unknown
BEN11122201_00;Benghazi;Libya;620;other;NA;blunt object;Government;Military police;unknown;unknown;ex-rebel;militia;male;unknown;no;1: high;"Amnesty International report (2012): ""LIBYA: RULE OF LAW OR RULE OF MILITIAS?"", page 31.";Victim;2011-12-22;2011-12-22;0;unknown;Military police prison in Bouhdima [Bohdema], Benghazi;;;32,071079;20,113568;3: neighbourhood ;0;0;0;0;0;0;0;NA;1;0;1;0;0
BEN12031601_00;Benghazi;Libya;620;riot/violent protest;NA;firearms;civilians;pro-federalism;unknown;unknown;civilians;anti-federalism;unknown;unknown;no;1: high;"Libya Herald - 16 March 2012: ""Clashes in Benghazi over federalism.""";Benghazi Medical Center;2012-03-16;2012-03-16;1;unknown;Freedom square;;;32,120716;20,057615;1: exact location (e.g. street, building, square);0;0;0;0;0;1;0;unknown;5;0;0;0;5
BEN12042401_00;Benghazi;Libya;620;violent abduction;NA;blunt object;Security personnel (suspected);Government;unknown;unknown;civilian;civilians;male;unknown;no;2: medium;"Amnesty International report: ""LIBYA: RULE OF LAW OR RULE OF MILITIAS?"", page 16.";Victim;2012-04-24;2012-04-24;1;unknown;In Benghazi;;;32,107663;20,099349;5: city-level precision only;0;0;0;0;0;0;0;NA;1;0;1;0;0
BEN12042901_00;Benghazi;Libya;620;attack;NA;firearms;Security personnel (suspected);Government;unknown;unknown;Family of ex-rebel;civilians;Female;unknown;no;2: medium;"Amnesty International report: ""LIBYA: RULE OF LAW OR RULE OF MILITIAS?"", page 31-32";Victim;2012-04-29;2012-04-29;1;midnight;Near the Islamic Endowments Building in Benghazi ;;;32,11192;20,079671;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;NA;1;0;1;0;0
BEN12042902_00;Benghazi;Libya;620;other;NA;blunt object;Security personnel;Government;unknown;unknown;Ex-military;Government;male;unknown;no;2: medium;"Amnesty International report (2012): ""LIBYA: RULE OF LAW OR RULE OF MILITIAS?"", page 19.";Victim;2012-04-29;2012-04-29;1;midnight;At a detention centre in Benghazi;;;32,102454;20,089911;5: city-level precision only;0;0;0;0;0;0;0;NA;1;0;1;0;0
BEN12060501_00;Benghazi;Libya;620;clash;NA;firearms;Government;Police;unknown;unknown;ex-rebel;militia;male;unknown;no;1: high;"AFP - 5 June 2012: ""Libyan police clash with armed group in Benghazi.""";A security source;2012-06-05;2012-06-05;1;unknown;Al-Qawersha checkpoint, west of the town;;;32,01451;20,048174;2: within a small radius of an exact location (e.g. “near the town hall”);0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN12061101_00;Benghazi;Libya;620;attack;NA;Explosives;unknown;unknown;unknown;unknown;British Embassy;UK;male;unknown;no;2: medium;"BBC - 11 June 2012: ""Libya unrest: UK envoy's convoy attacked in Benghazi.""";Embassy spokeswoman;2012-06-11;2012-06-11;1;unknown;Near the british consulate in Benghazi;;;32,061096;20,085041;3: neighbourhood ;0;0;0;0;0;0;0;NA;2;0;2;0;0
BEN12062101_00;Benghazi;Libya;620;assassination/murder;NA;firearms;unknown;unknown;unknown;unknown;Judge;Government;male;unknown;no;2: medium;"AFP - 21 June 2012: ""Libyan judge investigating murder of ex-chief of staff shot dead in Benghazi.""";Security source;2012-06-21;2012-06-21;1;unknown;near Shaheed Ahmed Sharif mosque, Ahmed Ash-Sharif street;As Sulmani;;32,125189;20,104034;2: within a small radius of an exact location (e.g. “near the town hall”);0;1;0;0;1;1;1;1 male;0;0;0;0;0
BEN12070601_00;Benghazi;Libya;620;attack;NA;firearms;unknown;unknown;unknown;unknown;Election official;Government;male;unknown;no;2: medium;"AFP - 6 July 2012: ""1 dead as shots hit helicopter used for Libya vote: army."" // Irish Examiner - 6 July 2012: ""Libya election helicopter shot down."" // Xinhua - 6 July 2012: ""Police helicopter downed by militants in eastern Libya, one killed.""";NTC spokesman;2012-07-06;2012-07-06;1;unknown;Hawari district, Benghazi;;;32,045081;20,12897;4: sub-city admin area;0;0;1;0;1;1;1;1 male;0;0;0;0;0
BEN12072801_00;Benghazi;Libya;620;assassination/murder;NA;firearms;unknown;unknown;unknown;unknown;Military official;Government;male;unknown;no;2: medium;"AP - 29 July 2012: ""Convoy of Libyan general comes under fire, latest attack on former officials in east.""";Security source;2012-07-28;2012-07-28;1;night;Al-Leithi district;;;32,092619;20,132814;3: neighbourhood ;0;1;0;0;1;1;1;1 male;0;0;0;0;0
