id;city;country;country_id;type_of_violence;UCDP_event_id;weapon/method;side_a;side_a_identity;side_a_gender;side_a_age;side_b;side_b_identity;side_b_gender;side_b_age;additional_actors;cr_clarity;sources;sources_original;date_start;date_end;date_precision;time;where;neighbourhood/area;admin_area;latitude;longitude;geoprecision;deaths_a;deaths_b;deaths_other;deaths_unknown;deaths_best;deaths_high;deaths_low;deaths_gender;injuries_total;injuries_a;injuries_b;injuries_others;injuries_na
IMP10011601_00;Imphal;India;750;attack;94604;firearms;militants;unknown;unknown;unknown;Assam rifles;unknown;unknown;unknown;no;2: medium;"Imphal Free Press, ""Two killed, three held by commandos,"" 17 January 2010";;2010-01-16;2010-01-16;1;07:00 p.m.;Wakha Lambi Yangbi Khunou under Porompat police station, Imphal East;;;24,806533;93,959298;3: neighbourhood ;2;0;0;0;2;2;2;unknown;0;0;0;0;0
IMP10011901_00;Imphal;India;750;attack;na;explosives;unknown;unknown;unknown;unknown;civilians;unknown;unknown;unknown;no;3: low;GTD Event ID: 201001190016;;2010-01-19;2010-01-19;1;unknown;Noremthong, Imphal West;;;24,807713;93,919785;3: neighbourhood ;0;0;0;0;0;0;0;;2;0;2;0;0
IMP10012501_00;Imphal;India;750;attack;na;explosives;unknown;unknown;unknown;unknown;police personnel;unknown;3 men;unknown;no;3: low;"United News of India, ""Three policemen injured in twin blast,"" 25 January 2010";Police;2010-01-25;2010-01-25;1;evening;near the Commando complex and Manipur Mountaineering and Trekking Association office at Minuthong, Imphal East;;;24,814353;93,948433;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;;3;0;3;0;0
IMP10022301_00;Imphal;India;750;assassination/murder;na;firearms;unknown;unknown;unknown;unknown;xKYKL (MDF);unknown;1 man;23;no;3: low;GTD Event ID: ?201002230032;;2010-02-23;2010-02-23;1;unknown;?campus of the North East Institute of Science and Technology, Lamphel, Imphal West;;;24,823632;93,911252;1: exact location (e.g. street, building, square);0;1;0;0;1;1;1;1 man;0;0;0;0;0
IMP10040901_00;Imphal;India;750;attack;na;explosives;militants;unknown;unknown;unknown;civilians;unknown;1 woman;18;no;2: medium;"GTD Event ID: 201004090010; Imphal Free Press, ""Girl hurt in grenade explosion at ex-Speaker's residence,"" 9 April 2010";;2010-04-09;2010-04-09;1;06:30 a.m.;New Lambulane, under Porompat police station, Imphal East;;;24,809523;93,948434;3: neighbourhood ;0;0;0;0;0;0;0;;1;0;1;0;0
IMP10042001_00;Imphal;India;750;clash;na;without weapon/melee;KCP;unknown;unknown;2 youths;civilians;unknown;unknown;unknown;no;1: high;"Imphal Free Press, ""Residents give extortionist bitter medicine,"" 20 April 2010";;2010-04-20;2010-04-20;1;09:30 a.m.;Soibam Leikai Mari Leirak, under Porompat police station, Imphal East;;;24,806533;93,959298;3: neighbourhood ;0;0;0;0;0;0;0;;1;0;1;0;0
IMP10042501_00;Imphal;India;750;assassination/murder;na;firearms;militants;unknown;unknown;unknown;civilians;unknown;2 men;60, 63;no;3: low;"Imphal Free Press, ""State NCP vice president shot dead,"" 25 April 2010";;2010-04-25;2010-04-25;1;07:00 p.m.;Luxmi Hotel, New Checkon, under Porompat police station, Imphal East;;;24,808285;93,949787;3: neighbourhood ;0;1;0;0;1;1;1;1 man;1;0;1;0;0
IMP10070601_00;Imphal;India;750;attack;na;explosives;militants;unknown;unknown;unknown;civilians;unknown;3 men;55, 60 , 40;no;2: medium;"Assam Tribune, ""Ultra gunned down in Manipur, arms seized,"" 6 July 2010; Imphal Free Press, ""Bomb rocks Langol View Hospital,"" 6 July 2010";Police;2010-07-06;2010-07-06;1;02:30 p.m.;in front of Langol View Clinic, Imphal West;;;24,812344;93,924173;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;3;0;3;0;0
IMP10073101_00;Imphal;India;750;attack;na;explosives;militants;unknown;unknown;unknown;civilians;unknown;5 men, 1 woman;unknown;no;2: medium;"The Hindu, ""Six injured in grenade blast at workshop in Imphal,"" 8 August 2010";;2010-07-31;2010-07-31;1;night;at a workshop near the airport, Imphal West;;;24,754073;93,893172;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;;6;0;6;0;0
IMP10080201_00;Imphal;India;750;assassination/murder;na;firearms;militants;unknown;unknown;unknown;civilians;unknown;unknown;unknown;no;2: medium;GTD Event ID: ?201008020001;;2010-08-02;2010-08-02;1;unknown;Kongba Laishram Leikai, Imphal East;;;24,776617;93,958871;3: neighbourhood ;0;1;0;0;1;1;1;unknown;0;0;0;0;0
IMP10080601_00;Imphal;India;750;attack;na;explosives;militants;unknown;unknown;unknown;civilians;unknown;unknown;unknown;no;2: medium;"Indo-Asian News Service, ""Six injured in Manipur grenade attack,"" 6 August 2010";Police;2010-08-06;2010-08-06;1;07:30 p.m.;steel fabrication unit in the Sangaiprou area, Imphal West;;;24,751138;93,909537;3: neighbourhood ;0;0;0;0;0;0;0;;6;0;6;0;0
IMP10082101_00;Imphal;India;750;assassination/murder;na;firearms;unknown;unknown;unknown;unknown;IRBN;unknown;1 man;30;no;3: low;"Imphal Free Press, ""One shot dead, girl killed in mishap, one beaten to death,"" 22 August 2010";;2010-08-21;2010-08-21;1;10:15 p.m.;Kongba Nongthongbam Leikai near a dispensary along the Kongba Keikhu IV road, Imphal East;;;24,761684;93,953487;3: neighbourhood ;0;1;0;0;1;1;1;1 man;0;0;0;0;0
IMP10090201_00;Imphal;India;750;attack;na;firearms;rebels;unknown;unknown;unknown;police personnel;unknown;unknown;unknown;no;2: medium;"The Hindu, ""Extortion now by thugs posing as rebels,"" 3 September 2010";;2010-09-02;2010-09-02;1;night;near the Tulihal airport, Imphal West;;;24,754073;93,893172;2: within a small radius of an exact location (e.g. “near the town hall”);1;0;0;0;1;1;1;unknown;0;0;0;0;0
IMP10120601_00;Imphal;India;750;attack;na;explosives;militants;unknown;unknown;unknown;civilians;unknown;unknown;unknown;no;2: medium;GTD Event ID: 201012060004;;2010-12-06;2010-12-06;1;unknown;Nagamapal Market, Imphal West;;;24,810806;93,933329;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;;5;0;5;0;0
IMP11011101_00;Imphal;India;750;assassination/murder;na;firearms;militants;unknown;unknown;unknown;civilians;unknown;1 man;60;no;3: low;"Time of India, ""UCM supports agitation against Kunjabihari killing,"" 27 January 2011; Assam Tribune, ""Manipur secondary board chief shot,"" 12 January 2011";;2011-01-11;2011-01-11;1;unknown;Babupara, Imphal East;;;24,799684;93,942418;3: neighbourhood ;0;1;0;0;1;1;1;1 man;0;0;0;0;0
IMP11012101_00;Imphal;India;750;attack;na;explosives;KCP (Lalheiba faction);unknown;6 men, 1 woman;unknown;civilians;unknown;1 woman;unknown;no;1: high;"United News of India, ""Seven ultras arrested,"" 23 January 2011";Police;2011-01-21;2011-01-21;1;unknown;Telipati, Imphal East;;;24,814172;93,953398;3: neighbourhood ;0;0;0;0;0;0;0;;1;0;1;0;0
IMP11021001_00;Imphal;India;750;attack;na;explosives;KCP;unknown;unknown;unknown;civilians;unknown;unknown;unknown;no;1: high;"Assam Tribune, ""One killed in grenade attack,"" 10 February 2011; United News of India, ""Manipur rebel leader held in Kohima,"" 18 February 2011";Police;2011-02-10;2011-02-10;1;04:00 p.m.;Singjamei Chongtham Leikai, Imphal West;;;24,778423;93,936516;3: neighbourhood ;0;1;0;0;1;1;1;1 man;5;0;0;5;0
IMP11022701_00;Imphal;India;750;attack;na;explosives;militants;unknown;unknown;unknown;civilians;unknown;unknown;unknown;no;2: medium;"Assam Tribune,"" 7 hurt in Imphal blast,"" 27 February 2011; Defence Journal, ""Security Analysis on the International, Regional and Domestic Fronts (Combined effort of PATHFINDER GROUP Task Force),"" 30 April 2011";;2011-02-27;2011-02-27;1;12:40 p.m.;"hardware shop at Hatta Makha Leikai road, Imphal East
";;;24,810082;93,949906;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;;7;0;7;0;0
IMP11032701_00;Imphal;India;750;attack;na;firearms;rebels;unknown;unknown;unknown;civilians;unknown;1 man;30;no;2: medium;"The Times of India, ""Watchman of private mobile service provider shot at,"" 29 March 2011; Asian News International, ""Militants threat affecting telecom service of Manipur,"" 3 April 2011";;2011-03-27;2011-03-27;1;night;Kongba Laishram Leikai, Imphal East;;;24,799697;93,971137;3: neighbourhood ;0;0;0;0;0;0;0;;1;0;1;0;0
IMP11033001_00;Imphal;India;750;attack;na;explosives;militants;unknown;unknown;unknown;civilians;unknown;1 man;unknown;no;2: medium;GTD Event ID: 201103300007;;2011-03-30;2011-03-30;1;06:00 p.m.;Kwakeithel Thiyam Awang Leikai, Imphal West;;;24,791068;93,921376;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;;1;0;1;0;0
IMP11040401_00;Imphal;India;750;assassination/murder;na;firearms;unknown;unknown;unknown;unknown;civilians;unknown;1 man;35;no;3: low;"The Times of India, ""Mobile tower watchman gunned down in Imphal,"" 6 April 2011";Police;2011-04-04;2011-04-04;1;08:30 p.m.;Wangkehi Wangkheimayum, Imphal East;;;24,792154;93,953619;3: neighbourhood ;0;1;0;0;1;1;1;1 man;0;0;0;0;0
IMP11052801_00;Imphal;India;750;attack;na;explosives;militants;unknown;unknown;unknown;civilians;unknown;unknown;unknown;no;3: low;"1 August 2011; India Blooms News Service, ""Scarlet Monday: Two school girls among five killed at Sangakpham bomb blast, seven injured,"" 16 August 2011";;2011-05-28;2011-05-28;1;unknown;a sports stadium (Khuman Lampak) complex, Imphal West;;;24,822523;93,952481;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;3;0;3;0;0
