id;city;country;country_id;type_of_violence;event_UCDP_id;weapon/method;side_a;side_a_identity;side_a_UCDP_id;side_a_gender;side_a_age;side_b;side_b_identity;side_b_UCDP_id;side_b_gender;side_b_age;additional actor;cr_clarity;clarity_comment;sources;sources_original;date_start;date_end;date_precision;time;where;neighborhood/area;longitude;latitude;geoprecision;deaths_a;deaths_b;deaths_other;deaths_unknown;deaths_best;deaths_high;deaths_low;deaths_gender;fatalities_comment;injuries_total;injuries_a;injuries_b;injuries_others;injuries_unknown;injuries_comment;
MIT99070701_00;Mitrovica;Kosovo;347;clash;n/a;blunt instrument (clubs, stones);civilians;Serb;n/a;unknown;unknown;civilians;Albanian;n/a;unknown;unknown;no;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;"Agence France-Presse, ""The AFP 2100 GMT news advisory,"" 7 July 1999";unknown;1999-07-07;1999-07-07;1;unknown;Main Bridge, Mitrovica;Main Bridge, Mitrovica;20,866002;42,891256;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;;unknown;unknown;unknown;unknown;unknown ;unclear whether injuries were sustained;
MIT99071101_00;Mitrovica;Kosovo;347;attack;n/a;without weapon/melee (beating), blunt instrument (stones);civilians;Serb;n/a;unknown;unknown;civilians;Albanian;n/a;1 boy;12;no;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;"Washington Post, ""Mitrovica Bridge Marks Ethnic Divide in Kosovo,"" 22 July 1999";victim testimony;1999-07-11;1999-07-17;0;unknown;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;1;0;1;0;0;victim: Bashkim Kutlouci;
MIT99080701_00;Mitrovica;Kosovo;347;riot/violent protest;n/a;unknown;civilians;Albanian;n/a;unknown;unknown;NATO soldiers;French;6249;unknown;unknown;Serb civilians;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;"Associated Press, ""French Troops Clash With Albanians,"" 7 August 1999; Buffalo News, ""ETHNIC ALBANIANS KEPT FROM CROSSING SPAN TO SERB AREA,"" 9 August 1999; Reuters News, ""CORRECTED-French soldier seriously hurt in Kosovo riot,"" 9 August 1999";unknown;1999-08-07;1999-08-08;1;unknown;Main Bridge, Mitrovica;Main Bridge, Mitrovica;20,866002;42,891256;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;;25;4;1;20;0;;
MIT99080701_01;Mitrovica;Kosovo;347;riot/violent protest;n/a;unknown;civilians;Albanian;n/a;unknown;unknown;NATO soldiers;French;6249;unknown;unknown;Serb civilians;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;"Associated Press, ""French Troops Clash With Albanians,"" 7 August 1999";unknown;1999-08-07;1999-08-09;1;unknown;Main Bridge, Mitrovica;Main Bridge, Mitrovica;20,866002;42,891256;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;;3;0;0;3;0;unclear who was injured;
MIT99080701_02;Mitrovica;Kosovo;347;riot/violent protest;n/a;without weapon/melee (beating, kicking);civilians;Albanian;n/a;unknown;unknown;NATO soldiers;unknown;6249;unknown;unknown;no;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;"Reuters News, ""FOCUS-Kosovo Albanians and French clash again,"" 8 August 1999; Kosova Sot: 09.08.1999";unknown;1999-08-08;1999-08-08;1;unknown;Main Bridge, Mitrovica;Main Bridge, Mitrovica;20,866002;42,891256;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;;17;0;0;17;0;unclear who was injured;
MIT99080701_03;Mitrovica;Kosovo;347;riot/violent protest;n/a;blunt instrument (rifle);civilians;Albanian;n/a;unknown;youth;NATO soldiers;French;6249;unknown;unknown;no;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;"Buffalo News, ""ETHNIC ALBANIANS KEPT FROM CROSSING SPAN TO SERB AREA,"" 9 August 1999; Reuters News, ""CORRECTED-French soldier seriously hurt in Kosovo riot,"" 9 August 1999";victim testimony, French military spokesman;1999-08-09;1999-08-09;1;unknown;Main Bridge, Mitrovica;Main Bridge, Mitrovica;20,866002;42,891256;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;;5;4;1;0;0;"""several"" was coded as 3";
MIT99080801_00;Mitrovica;Kosovo;347;attack;n/a;explosives (grenade), gunfire;unknown;unknown;n/a;unknown;unknown;civilians;Serb;n/a;unknown;unknown;NATO soldiers;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event based on ethnic division, but the perpetrator is unknown. Thus, the event is coded at level 2.;"Associated Press Newswires, ""French troops clash with ethnic Albanian protesters in Kosovo,"" 8 August 1999";NATO officials;1999-08-08;1999-08-08;1;unknown;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;1;1;0;0;0;;
MIT99081001_00;Mitrovica;Kosovo;347;attack;n/a;without weapon/melee (beating);civilians;Serb;n/a;unknown;unknown;civilians;Albanian;n/a;unknown;unknown;no;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;"Associated Press Newswires, ""New Demonstrations at Mitrovica bridge,"" 11 August 1999";French NATO contingent Capt. Bernard Bonneau;1999-08-10;1999-08-10;1;night;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;3;0;3;0;0;;
MIT99081301_00;Mitrovica;Kosovo;347;attack;n/a;unknown;civilians;Serb;n/a;unknown;unknown;civilians;Albanian;n/a;unknown;unknown;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event, but the source is potentially biased. Thus, the event is coded at level 2.;Bota Sot: 17.08.1999;unknown;1999-08-13;1999-08-16;0;unknown;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;3;3;0;0;0;;
MIT99081401_00;Mitrovica;Kosovo;347;attack;n/a;gunfire;civilians;Albanian;n/a;unknown;unknown;civilians;Serb;n/a;men;unknown;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances slightly unclear, but strongly suggest a conflict-related event based on ethnic division. Thus, the event is coded at level 2.;"Associated Press Newswires, ""Pending agreement, ethnic Albanians call off protest in divided mining center."" 16 August 1999; M2 Presswire, NATO:KFOR press update (Delivered by Major Roland Lavoie,KFOR Spokesperson,"" 17 August 1999";KFOR spokesperson;1999-08-14;1999-08-14;1;afternoon;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;2;0;2;0;0;;
MIT99082201_00;Mitrovica;Kosovo;347;attack;n/a;explosives (molotov cocktail);unknown;unknown;n/a;unknown;unknown;civilians;Serb;n/a;unknown;unknown;no;3: low – there is some reason to believe it is conflict-related, e.g. based on group identities, but no clear statements or evidence ;Circumstances (victims/method) could suggest a conflict-related event, but the situation is unclear and the perpetrator is unknown. Thus, the event is coded at CR3.;KFOR Press Update: 23.08.1999;Major Roland Lavoie, KFOR Spokesman;1999-08-22;1999-08-22;1;09:00 p.m.;Mitrovica;;20,856830;42,8891319;5: city-level precision only;0;0;0;0;0;0;0;;;3;0;3;0;0;;
MIT99083001_00;Mitrovica;Kosovo;347;attack;n/a;without weapon/melee (beating);civilians;Serb;n/a;unknown;unknown;civilians;Albanian;n/a;unknown;unknown;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event based on ethnic division, but the source is potentially biased. Thus, the event is coded at level 2.;Dardania Press: 31.08.1999;unknown;1999-08-30;1999-08-30;1;unknown;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;3;0;3;0;0;"""some"" was coded as 3";
MIT99090701_00;Mitrovica;Kosovo;347;attack;n/a;unknown;civilians;Serb;n/a;unknown;unknown;civilians;Albanian;n/a;unknown;unknown;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event based on ethnic division, but the source is potentially biased. Thus, the event is coded at level 2.;Rilindja: 11.09.1999;unknown;1999-09-07;1999-09-10;0;unknown;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;unknown;unknown;unknown;unknown;unknown ;unclear whether injuries were sustained;
MIT99090901_00;Mitrovica;Kosovo;347;clash;n/a;without weapon/melee (beating), blunt instrument (stones), gunfire;civilians;Serb;n/a;unknown;unknown;civilians;Albanian;n/a;unknown;unknown;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event, but the source is potentially biased. Thus, the event is coded at level 2.;"BBC Monitoring European, ""Albanians say Serbs provoked clashes in divided northern town,"" 10 September 1999";unknown;1999-09-09;1999-09-09;1;05:00 p.m.;Brdjani/ Kroi i Vitakut, North Mitrovica;Brdjani/ Kroi i Vitakut, North Mitrovica;20,852341;42,8921131;3: neighbourhood ;0;0;0;0;0;0;0;;;9;0;9;0;0;;
MIT99091001_00;Mitrovica;Kosovo;347;riot/violent protest;n/a;blunt instrument (stones), other (teargas);civilians;Albanian;n/a;unknown;unknown;NATO soldiers;unknown;6249;unknown;unknown;no;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;"Reuters News, ""Reuters World News Digest at 1815 GMT, Sep 10.."" 10 September 1999";unknown;1999-09-10;1999-09-10;1;unknown;Mitrovica;;20,856830;42,8891319;5: city-level precision only;0;0;0;0;0;0;0;;;unknown;unknown;unknown;unknown;unknown ;unclear whether injuries were sustained;
MIT99091002_00;Mitrovica;Kosovo;347;riot/violent protest;n/a;blunt instrument (projectile);civilians;Albanian;n/a;unknown;unknown;civilians;Serb;n/a;unknown;unknown;KFOR soldiers;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;"Agence France-Presse, ""KLA moves to calm tensions in Kosovo flashpoint by Ingrid Bazinet ATTENTION - CHANGESdateline, RECASTS, ADDS detail ///,"" 12 September 1999; KFOR Press Update: 10.09.1999";Major Roland Lavoie, KFOR Spokesman;1999-09-10;1999-09-11;1;unknown;Main Bridge, Mitrovica;Main Bridge, Mitrovica;20,866002;42,891256;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;;150;0;0;150;0;15 police officers/soliders were injured;
MIT99091701_00;Mitrovica;Kosovo;347;attack;n/a;others (motor vehicle);civilians;unknown;n/a;unknown;unknown;KFOR soldiers;French;n/a;unknown;unknown;no;3: low – there is some reason to believe it is conflict-related, e.g. based on group identities, but no clear statements or evidence ;Circumstances (victims/location) could suggest a conflict-related event, but the situation is slightly unclear (accident?) and the perpetrator is unknown. Thus, the event is coded at CR3.;KFOR Press Update: 18.09.1999;Major Roland Lavoie, KFOR Spokesman;1999-09-17;1999-09-17;1;unknown;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;1;0;1;0;0;;
MIT99091901_00;Mitrovica;Kosovo;347;attack;n/a;unknown;civilians;Serb;n/a;unknown;unknown;KFOR soldiers;French;n/a;unknown;unknown;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event, but the source is potentially biased. Thus, the event is coded at level 2.;Bota Sot: 23.09.1999;unknown;1999-09-19;1999-09-22;0;unknown;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;unknown;unknown;unknown;unknown;unknown ;unclear whether injuries were sustained;
MIT99100201_00;Mitrovica;Kosovo;347;attack;n/a;without weapon/melee (beating);unknown;unknown;n/a;unknown;unknown;civilians;Albanian;n/a;women;unknown;no;3: low – there is some reason to believe it is conflict-related, e.g. based on group identities, but no clear statements or evidence ;Circumstances (victims) could suggest a conflict-related event, but the situation is slightly unclear and the perpetrator not fully identifiable (Serbs?). Thus, the event is coded at CR3.;Dardania Press: 06.10.1999;unknown;1999-10-02;1999-10-05;0;unknown;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;11;0;11;0;0;;
MIT99100301_00;Mitrovica;Kosovo;347;attack;n/a;gunfire;unknown;unknown;n/a;unknown;unknown;civilians;Albanian;n/a;1 man;teenager;French KFOR soldiers;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances (target/location) strongly suggest a conflict-related event based on ethnic division, but the perpetrator is unknown. Thus, the event is coded at level 2.;KFOR Press Update: 04.10.1999;Major Roland Lavoie, KFOR Spokesman;1999-10-03;1999-10-03;1;afternoon;Main Bridge, Mitrovica;Main Bridge, Mitrovica;20,866002;42,891256;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;;1;0;1;0;0;;
MIT99101501_00;Mitrovica;Kosovo;347;riot/violent protest;n/a;other (teargas, percussion grenades), explosives (grenade);civilians;Albanian;n/a;unknown;unknown;KFOR soldiers, police officers;French, Danish;n/a;unknown;unknown;no;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;"Reuters News, ""Reuters World News Digest at 0900 GMT, Oct 16.,"" 16 October 1999";unknown;1999-10-15;1999-10-15;1;unknown;Main Bridge, Mitrovica;Main Bridge, Mitrovica;20,866002;42,891256;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;;100;93;7;0;0;;
MIT99103101_00;Mitrovica;Kosovo;347;clash;n/a;unknown;civilians;Albanian;n/a;unknown;unknown;civilians;Serb;n/a;unknown;unknown;UNMIK police officers;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;KFOR Press Update 01.11.1999;Major Ole Irgens, KFOR Spokesman;1999-10-31;1999-10-31;1;10:00 a.m.;Main Bridge, Mitrovica;Main Bridge, Mitrovica;20,866002;42,891256;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;;1;0;1;0;0;;
MIT99110201_00;Mitrovica;Kosovo;347;attack;n/a;unknown;civilians;Serb;n/a;unknown;unknown;Kosovo police officers;unknown;n/a;unknown;unknown;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event, but the source is potentially biased. Thus, the event is coded at level 2.;Bota Sot/Rilindja: 03.11.1999;unknown;1999-11-02;1999-11-02;1;unknown;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;2;0;2;0;0;;
MIT99110202_00;Mitrovica;Kosovo;347;attack;n/a;unknown;civilians;Serb;n/a;unknown;unknown;Kosovo police officers, UNMIK police officers;Albanian;n/a;unknown;unknown;Kosovo Albanian woman, French KFOR soldiers;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;KFOR Press Update: 03.11.1999;Major Ole Irgens, KFOR Spokesman;1999-11-02;1999-11-02;1;09:30 a.m.;Mitrovica;;20,856830;42,8891319;5: city-level precision only;0;0;0;0;0;0;0;;;1;0;1;0;0;One member of the UNMIK Patrol was slightly injured;
MIT99110601_00;Mitrovica;Kosovo;347;riot/violent protest;n/a;unknown;civilians;Serb;n/a;unknown;unknown;KFOR soldiers;unknown;n/a;unknown;unknown;no;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;"Associated Press Newswires, ""Blast damages train bridge in northern Kosovo,"" 6 November 1999";NATO officials;1999-11-06;1999-11-06;1;unknown;Main Bridge, Mitrovica;Main Bridge, Mitrovica;20,866002;42,891256;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;;5;0;5;0;0;;
MIT99111101_00;Mitrovica;Kosovo;347;attack;n/a;unknown;civilians;Serb;n/a;unknown;unknown;civilians;Albanian;n/a;1 woman;2 children;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event, but the source is potentially biased. Thus, the event is coded at level 2.;Dardania Press: 12.11.1999;unknown;1999-11-11;1999-11-11;1;night;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;3;0;3;0;0;;
MIT99111102_00;Mitrovica;Kosovo;347;attack;n/a;gunfire;unknown;unknown;n/a;unknown;unknown;civilians;Albanian;n/a;2 men;unknown;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances could suggest a conflict-related event, but the perpetrators are unknown. Thus, event is coded as CR2. ;KFOR Press Update: 12.11.1999;Major Roland Lavoie, KFOR Spokesman;1999-11-11;1999-11-11;1;10:00 a.m.;near the Stadium, South Mitrovica;;20950779;42881570;2: within a small radius of an exact location (e.g. “near the town hall”);0;0;0;0;0;0;0;;;2;0;2;0;0;;
MIT99113001_00;Mitrovica;Kosovo;347;assassination/murder;n/a;gunfire;unknown;unknown;n/a;unknown;unknown;civilians;unknown;n/a;1 man;unknown;no;3: low – there is some reason to believe it is conflict-related, e.g. based on group identities, but no clear statements or evidence ;Circumstances could suggest a conflict-related event, but the situation is unclear. Perpetrators are also unknown. Thus, event is coded as CR3. ;KFOR Press Update: 01.12.1999;Major Roland Lavoie, KFOR Spokesman;1999-11-30;1999-11-30;1;unknown;Mitrovica;;20,856830;42,8891319;5: city-level precision only;0;1;0;0;1;1;1;1 man;;0;0;0;0;0;;
MIT99120401_00;Mitrovica;Kosovo;347;attack;n/a;unknown;civilians;Serb;n/a;unknown;unknown;civilians;Albanian;n/a;2 women;unknown;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event, but the source is potentially biased. Thus, the event is coded at level 2.;Bota Sot: 07.12.1999;unknown;1999-12-04;1999-12-07;0;unknown;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;2;0;2;0;0;;
MIT99121201_00;Mitrovica;Kosovo;347;attack;n/a;explosives;unknown;unknown;n/a;unknown;unknown;civilians;Albanian;n/a;unknown;unknown;no;3: low – there is some reason to believe it is conflict-related, e.g. based on group identities, but no clear statements or evidence ;Circumstances (target/location) could suggest a conflict-related event, but the situation is unclear. Perpetrators are also unknown. Source is potentially biased. Thus, event is coded as CR3. ;Rilindja: 15.12.1999;unknown;1999-12-12;1999-12-15;0;unknown;seat of Albanian Republican Party in North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;4;0;4;0;0;2 people injured badly;
MIT99121401_00;Mitrovica;Kosovo;347;attack;n/a;unknown;civilians;Serb;n/a;unknown;unknown;civilians;Albanian;n/a;1 man;unknown;KFOR soldiers, U.N. police officers;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event, but the source is potentially biased. Thus, the event is coded at level 2.;Koha Ditore/Rilindja: 17.12.1999;unknown;1999-12-14;1999-12-17;0;unknown;seat of Albanian Republican Party in North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;1;0;1;0;0;;
MIT99121501_00;Mitrovica;Kosovo;347;clash;n/a;unknown;civilians;unknown;n/a;unknown;unknown;civilians;unknown;n/a;unknown;unknown;U.N. police officers;3: low – there is some reason to believe it is conflict-related, e.g. based on group identities, but no clear statements or evidence ;Circumstances (sides engaged in turmoil) could suggest a conflict-related event, but the situation is unclear. Thus, the event is coded at CR3.;Bota Sot: 18.12.1999;unknown;1999-12-15;1999-12-18;0;unknown;Mitrovica;;20,856830;42,8891319;5: city-level precision only;0;0;0;0;0;0;0;;;4;0;0;2;2;2 American policemen and some Mitrovica residents were injured (some=2);
MIT99121601_00;Mitrovica;Kosovo;347;clash;n/a;blunt instrument (stones);civilians;Albanian;n/a;unknown;unknown;civilians;Serb;n/a;unknown;unknown;KFOR soldiers;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;"Washington Post, ""WORLD in Brief,"" 18 December 1999";U.N. police spokesman Gilles Moreau;1999-12-16;1999-12-16;1;unknown;Mitrovica;;20,856830;42,8891319;5: city-level precision only;0;0;0;0;0;0;0;;;2;0;0;2;0;2 U.S. policemen were seriously injured trying to break up a brawl;
MIT99121701_00;Mitrovica;Kosovo;347;attack;n/a;explosives (grenade);unknown;unknown;n/a;unknown;unknown;civilians;Albanian;n/a;1 man;unknown;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event, but the perpetrator is unknown. Thus, the event is coded at level 2.;KFOR Press Update: 17.12.1999;Major Roland Lavoie, KFOR Spokesman;1999-12-17;1999-12-17;1;just after midnight;Mitrovica;;20,856830;42,8891319;5: city-level precision only;0;0;0;0;0;0;0;;;1;0;1;0;0;;
MIT99121901_00;Mitrovica;Kosovo;347;clash;n/a;unknown;civilians;unknown;n/a;unknown;unknown;civilians;unknown;n/a;unknown;unknown;KFOR soldiers;3: low – there is some reason to believe it is conflict-related, e.g. based on group identities, but no clear statements or evidence ;Circumstances (victims) could suggest a conflict-related event, but the situations is unclear. Thus, the event is coded at CR3.;Rilindja: 21.12.1999;unknown;1999-12-19;1999-12-21;0;unknown;Mitrovica;;20,856830;42,8891319;5: city-level precision only;0;0;0;0;0;0;0;;;2;0;0;2;0;2 American KFOR soldiers injured;
MIT99123101_00;Mitrovica;Kosovo;347;assassination/murder;n/a;unknown;paramilitaries;Serb;n/a;unknown;unknown;civilians;Albanian;n/a;1 man;young;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event, but the source is potentially biased. Thus, the event is coded at level 2.;Kosova Sot: 06.01.2000;unknown;1999-12-31;1999-12-31;1;11:00 p.m.;Ibri neighborhood in South Mitrovica;;20,852939;42,8826681;3: neighbourhood ;0;1;0;0;0;1;1;1 man ;;0;0;0;0;0;;
MIT00010201_00;Mitrovica;Kosovo;347;attack;n/a;gunfire;civilians;Serb;n/a;unknown;unknown;unknown;unknown;n/a;unknown;unknown;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;The victim's identity is unknown, but the circumstances strongly suggest a conflict-related event. Source is potentially biased. Thus, event is coded at CR2.;Rilindja: 05.01.2000;Albanian sources;2000-01-02;2000-01-05;0;unknown;South Mitrovica, close to northern part;;20,866898;42,890835;4: sub-city admin area;0;0;0;0;0;0;0;;;unknown;unknown;unknown;unknown;unknown;unclear whether injuries were sustained (traces of blood were found, so injury seems likely);
MIT00010401_00;Mitrovica;Kosovo;347;attack;n/a;unknown;civilians;Serb;n/a;unknown;unknown;civilians;Albanian;n/a;unknown;unknown;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event, but the source is potentially biased. Thus, the event is coded at level 2.;Zëri/Bota Sot: 07.01.2000;unknown;2000-01-04;2000-01-07;0;11:30 a.m.;Main Bridge, Mitrovica;Main Bridge, Mitrovica;20,866002;42,891256;1: exact location (e.g. street, building, square);0;0;0;0;0;0;0;;;1;0;1;0;0;;
MIT00010402_00;Mitrovica;Kosovo;347;attack;n/a;without weapon/melee (beating);civilians;Serb;n/a;unknown;youth;civilians;Albanian;n/a;unknown;children;no;2: medium – circumstances strongly suggest it is conflict-related, and/or unverified statements by other actors than those primarily involved in the violence, and/or information in line with clarity 1 but the information is less clear or reliable;Circumstances strongly suggest a conflict-related event, but the source is potentially biased. Thus, the event is coded at level 2.;Koha Ditore: 07.01.2000;unknown;2000-01-04;2000-01-07;0;unknown;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;unknown;unknown;unknown;unknown;unknown;unclear whether injuries were sustained;
MIT00011101_00;Mitrovica;Kosovo;347;riot/violent protest;n/a;unknown;civilians;Serb;n/a;unknown;unknown;civilians;Albanian;n/a;unknown;unknown;U.N. police officers;"1: high – reliable/credible information that the event involves the formal former warring parties or clearly takes place across the identity lines of the war; and/or a clear statement is made by those involved tying it to the war";;Koha Ditore/Kosova Sot: 14.01.2000;UNMIK press release;2000-01-11;2000-01-14;0;unknown;North Mitrovica;;20,860881;42,8944323;4: sub-city admin area;0;0;0;0;0;0;0;;;unknown;unknown;unknown;unknown;unknown;unclear whether injuries were sustained;
